科技/n 合作/vn 专项/b | 科技合作项目/nz
市级/b 工程中心/nit | 工程中心/nit
研发项目/nz 的/ude1 鉴定/vn | 研发项目鉴定/nz
研发/v 费/n | 研发费用/nz
加计扣除/nz 政策/n | 加计扣除/nz
研发/v 加计扣除/nz | 加计扣除/nz
研发费用税前加计扣除/nz | 加计扣除/nz
市级/b 高企/nr | 市高企/nz
市级/b 的/ude1 高企/nr |市高企/nz
市级/b 高新技术企业/nz | 市高企/nz
厦门市/ns 高新/nz | 市高企/nz
市/n 高新/nz   | 市高企/nz
市级/b 高新/nz | 市高企/nz
市高/nz | 市高企/nz
国家级/b 高新技术企业/nz|国家级/b 高企/nr
国家/n 高新技术企业/nz | 国家级/b 高企/nr
国高/nz | 国家级/b 高企/nr
科技型/b 小微企业/nz | 科技型/b 中小企业/n 
科技型/b 中小微企业/nz | 科技型/b 中小企业/n 
科技型/b 中小企业/n 技术创新基金/nz | 创新基金/nz
指/v 什么/ry | 是/vshi 什么/ry 
指/v 的/ude1 是/vshi  | 是/vshi
都/d 有/vyou | 有/vyou 
软著/nz | 软件著作权/nz
计算机软件著作权 | 软件著作权/nz
是/vshi 什么/ry 意思/n | 是/vshi 什么/ry
是/vshi 不是/c | 是不是/v
民办/b 性质/n 的/ude1 研究所/nis | 民办研究院/nz
是/vshi 怎样/ryv 的/ude1 | 是/vshi 什么/ry
几/d 点/qt 到/v 几/d 点/qt | 什么/ry 时候/n
年/qt 所得税/n 申报表/n  | 年度纳税申报表/nz
的/ude1 企业所得税/nz 申报表/n  | 年度纳税申报表/nz


